domain,url,first_seen,label,source,seen_in_urlhaus,seen_in_openphish
87.197.160.196,http://87.197.160.196:6324/.i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
aps-suit-trezor.pages.dev,https://aps-suit-trezor.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
79.175.42.206,http://79.175.42.206:7773/.i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
106.14.68.26,http://106.14.68.26/Server.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
202.59.90.109,http://202.59.90.109:62207/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
4.201.106.183,http://4.201.106.183/02.08.2022.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
160.250.128.197,http://160.250.128.197:8080/02.08.2022.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
metamaesk-en.pages.dev,https://metamaesk-en.pages.dev/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
59.154.122.196,http://59.154.122.196:1125/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
88.123.92.100,http://88.123.92.100:8000//sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
49.234.48.162,http://49.234.48.162/pdd_biaoge/soft/down.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
112.4.110.22,http://112.4.110.22:37780/sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
42.226.67.192,http://42.226.67.192:37992/bin.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
216.155.92.204,http://216.155.92.204:2876/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
222.103.202.2,http://222.103.202.2:34660/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
jb.ottoolineses.com,https://jb.ottoolineses.com/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
61.183.16.127,http://61.183.16.127:14417/help.scr,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
123.148.195.75,http://123.148.195.75:41343/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
59.27.224.90,http://59.27.224.90:26587/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
download.haozip.com,http://download.haozip.com/uniondown/haozip_tiny.201805.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
121.152.84.56,http://121.152.84.56:52066/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
83.239.108.174,http://83.239.108.174:43094/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
113.239.121.68,http://113.239.121.68:34810/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
197.159.8.222,http://197.159.8.222:34891/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
103.209.184.121,http://103.209.184.121:9257/.i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
bmdcompany.com,https://bmdcompany.com/,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
203.228.116.110,http://203.228.116.110:6067/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
www.ss-01.com,https://www.ss-01.com/SA0611/SystemSA32.dll,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
93.116.56.78,http://93.116.56.78:3976/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
perkinsartandsignsupply.com,https://perkinsartandsignsupply.com/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
218.157.219.170,http://218.157.219.170:43369/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
152.136.139.105,http://152.136.139.105:6666/02.08.2022.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
cfs7.blog.daum.net,http://cfs7.blog.daum.net/upload_control/download.blog?fhandle=MEtnWE5AZnM3LmJsb2cuZGF1bS5uZXQ6L0lNQUdFLzAvMC5leGU=&filename=%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%A2%85%EB%9F%89%EC%A0%9C_%ED%85%8C%EC%8A%A4%ED%8A%B8-cksal16.exe/%EC%9D%B8%ED%84%B0%EB%84%B7_%EC%A2%85%EB%9F%89%EC%A0%9C_%ED%85%8C%EC%8A%A4%ED%8A%B8-cksal16.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
bafybeiauitp4pzmay6325ntndspcuprjskz76h4vzrwvptedwt3rwdvjq4.ipfs.dweb.link,https://bafybeiauitp4pzmay6325ntndspcuprjskz76h4vzrwvptedwt3rwdvjq4.ipfs.dweb.link/?filename=MONDAY.txt,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
www.hostingcloud.science,https://www.hostingcloud.science/6NQq.js,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
118.44.144.198,http://118.44.144.198:4403/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
182.113.33.134,http://182.113.33.134:35372/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
112.248.101.130,http://112.248.101.130:49121/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
fkio535gt.fit,https://fkio535gt.fit/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
secure-x-up-held-io.pages.dev,https://secure-x-up-held-io.pages.dev/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
24.160.145.107,http://24.160.145.107:12388/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
80.19.172.50,http://80.19.172.50:57652/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
2.54.88.189,http://2.54.88.189:802/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
soft.wsyhn.com,https://soft.wsyhn.com/soft/wnbsqv3008.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
112.25.190.26,http://112.25.190.26:16347/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
pub-0478b308b8cf46709a73d0eed5afd633.r2.dev,https://pub-0478b308b8cf46709a73d0eed5afd633.r2.dev/nircmd.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
117.20.16.241,http://117.20.16.241:20957/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
189.130.103.179,http://189.130.103.179:41620/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
evangroup.ru,https://evangroup.ru/bitrix/js/main/core/core.js,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
hranenie.pereezd-24.com,http://hranenie.pereezd-24.com/1/f48JPpQImVYQqWD2jK3JVVpsLx/,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
182.123.210.201,http://182.123.210.201:46436/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
79.121.103.84,http://79.121.103.84:45544/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
fakers.co.jp,http://fakers.co.jp/25072019_0963.xls,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
atkcgnew.evgeni7e.beget.tech,http://atkcgnew.evgeni7e.beget.tech/HkHe3fKTc/,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
cegelecinfo.fr,http://cegelecinfo.fr/exe/set-2%20firmware%204.01.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
47.117.1.226,http://47.117.1.226:8882/02.08.2022.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
support-ledger-com-start.pages.dev,https://support-ledger-com-start.pages.dev/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
185.101.239.41,http://185.101.239.41:65494/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
jkshaonv.com,http://jkshaonv.com/wp-admin/eTrac/qqlOX3LVJH/,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
103.86.182.176,http://103.86.182.176:23620/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
studio.maweb.eu,http://studio.maweb.eu/bidniz.exe,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
201.94.181.7,http://201.94.181.7:8014/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
www.njzmfcls.com,https://www.njzmfcls.com/fedex/,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
124.123.26.174,http://124.123.26.174:8889/sshd,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
static.topxgun.com,http://static.topxgun.com/1465810408079_502.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
125.40.151.239,http://125.40.151.239:46498/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
f3i5-0g49bgn-3h95-1324992141.cos.ap-jakarta.myqcloud.com,https://f3i5-0g49bgn-3h95-1324992141.cos.ap-jakarta.myqcloud.com/36hg-04ik6-9j4-9h5.html,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
dl.aginjector.com,https://dl.aginjector.com/AG_Injector_Latest.apk,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
91.92.240.220,http://91.92.240.220/hiddenbin/solick.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
inspiring-jepsen.91-92-240-220.plesk.page,http://inspiring-jepsen.91-92-240-220.plesk.page/hiddenbin/mynode.x86_32,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
login----uphld.pages.dev,https://login----uphld.pages.dev/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
95.12.14.213,http://95.12.14.213:36882/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
117.247.101.185,http://117.247.101.185:2001/sshd,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
bet73092.com,https://bet73092.com/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
222.137.250.65,http://222.137.250.65:33132/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
